商品名,カロリー(kcal)
えびフィレオ®,408
てりやきチキンフィレオ,496
てりやきマックバーガー,477
アボカドマヨチーズシュリンプ,459
エグチ(エッグチーズバーガー),390
エッグマックマフィン®,310
ザク切りポテト&肉厚ビーフ コク旨ガーリックペッパー,588
ザク切りポテト&倍肉厚ビーフ コク旨ガーリックペッパー,755
ソーセージエッグマフィン,477
ソーセージマフィン,397
ダブルチーズバーガー,459
チーズバーガー,310
チキチー® (マックチキン® チーズ),433
チキンフィレオ®,479
チキンマックマフィン,398
ハンバーガー,259
バターパット,60
ビッグマック®,525
フィレオフィッシュ®,338
ベーコンエッグマックサンド,294
ベーコンレタスバーガー,362
ホットケーキ,323
ホットケーキシロップ,121
マックグリドル® ソーセージ,414
マックグリドル® ソーセージエッグ,545
マックグリドル® ベーコンエッグ,382
マックチキン®,383
マックポーク®,401
メガマフィン,693
メキシカンタコスチーズチキン,559
メキシカンタコスチーズチキンマフィン,476
倍えびフィレオ,582
倍てりやきチキンフィレオ,769
倍てりやきマックバーガー,731
倍エグチ(倍エッグチーズバーガー),489
倍ダブルチーズバーガー,657
倍チーズバーガー,409
倍チキチー(倍マックチキン チーズ),593
倍チキンフィレオ,725
倍ハンバーガー,358
倍ビッグマック,723
倍フィレオフィッシュ,453
倍ベーコンレタスバーガー,461
倍マックチキン,542
倍マックポーク,628
炙り醤油風 たまごベーコン肉厚ビーフ,517
炙り醤油風 ダブル肉厚ビーフ,633
チーズチーズてりやきマックバーガー,578
チーズチーズダブルチーズバーガー,561
えだまめコーン,83
りんご&クリーム,31
ケチャップ,23
サイドサラダ,10
シャカシャカポテト® ガーリックステーキ味シーズニング,7
シャカチキ,246
シャカチキ チェダーチーズ味シーズニング,8
ソフトツイスト,146
チキンマックナゲット® 15ピース,786
チキンマックナゲット® 5ピース,262
ハッシュポテト,157
バーベキューソース,33
プチパンケーキ,161
ホットアップルパイ,211
マスタードソース,43
マックフライポテト®(L),517
マックフライポテト®(M),410
マックフライポテト®(S),225
マックフルーリー® オレオ® クッキー,233
マックフルーリー® 超 オレオ® クッキー,352
焙煎胡麻ドレッシング(カロリーハーフ),27
Qoo 白ぶどう(L),192
Qoo 白ぶどう(M),149
Qoo 白ぶどう(S),96
Qoo 白ぶどう(ジャンボ),297
アールグレイ アイスティー(ストレート)(L),0
アールグレイ アイスティー(ストレート)(M),0
